WAAA,-5.0697222222,119.568055556,on,on,on,on,off,on,none,none
WABB,-1.1891666667,136.105833333,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WABI,-3.3747222222,135.501111111,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WABO,-1.8168888889,136.066666667,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WADB,-8.5416666667,118.691944444,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WADD,-8.7461111111,115.165833333,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WADL,-8.5605555556,116.093888889,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WADS,-8.4883333333,117.411944444,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WADY,-8.31,114.340555556,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WAEE,-0.8327777778,127.379722222,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WAEG,1.8383333333,127.786944444,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WAEK,1.2052777778,127.899444444,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WAEL,-0.6447222222,127.497777778,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WAES,-2.0980555556,125.965833333,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WAEW,2.05,128.316666667,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WAFF,-0.9175,119.906944444,on,on,on,on,on,on,on,none
WAFJ,-2.5877777778,119.028333333,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WAFL,1.1233333333,120.792777778,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WAFM,-2.5580555556,120.323888889,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WAFP,-1.4188888889,120.657777778,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WAFT,-3.0425,119.819722222,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WAFW,-1.0405555556,122.770833333,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WAFY,1.1044444444,121.415,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WAGG,-2.2266666667,113.943888889,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WAGI,-2.7041666667,111.668888889,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WAGK,-0.9433333333,114.894722222,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WAGM,-1.6694444444,114.898888889,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WAGS,-2.5011111111,112.976944444,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WAHH,-7.7880555556,110.431666667,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WAHL,-7.6483333333,109.055,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WAHQ,-7.5136111111,110.750555556,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WAHS,-6.9708333333,110.373888889,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WAJI,-1.8497222222,138.75,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WAJJ,-2.5705555556,140.512777778,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WAKK,-8.5175,140.416944444,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WAKT,-6.0966666667,140.303888889,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WALL,-1.2669444444,116.893888889,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WALS,-0.4844444444,117.156944444,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WAMG,-0.6369444444,122.848888889,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WAMH,3.6827777778,125.527777778,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WAMM,1.5433333333,124.921944444,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WAOK,-3.2958333333,116.163888889,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WAOO,-3.4394444444,114.753888889,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WAPA,-3.3469444444,128.925833333,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WAPC,-4.5216666667,129.903888889,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WAPF,-5.7602777778,132.759444444,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WAPI,-7.9883333333,131.303888889,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WAPL,-5.6613888889,132.731388889,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WAPP,-3.7066666667,128.088888889,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WAPR,-3.2358333333,127.099722222,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WAPS,-7.9883333333,131.304444444,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WAQA,4.1366666667,117.665,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WAQD,2.8372222222,117.373888889,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WAQJ,3.8830555556,115.7,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WAQL,1.7044444444,114.970277778,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WAQQ,3.3266666667,117.569722222,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WAQT,2.155,117.432777778,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WARA,-7.9294444444,112.711944444,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WARE,-8.24,113.693611111,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WARI,-7.6333333333,111.433333333,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WARR,-7.3772222222,112.793888889,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WART,-7.0241666667,113.89,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WARW,-5.7166666667,112.666666667,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WASF,-2.9202777778,132.266944444,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WASK,-3.6436111111,133.695833333,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WASS,-0.8938888889,131.285833333,on,on,on,on,on,on,on,none
WATA,-9.0744444444,124.904444444,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WATC,-8.6388888889,122.238888889,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WATE,-8.8491666667,121.660555556,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WATG,-8.5961111111,120.477777778,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WATK,-9.4094444444,119.244444444,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WATL,-8.2741666667,123,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WATM,-8.1363888889,124.593888889,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WATO,-8.4880555556,119.888888889,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WATR,-10.7669444444,123.075,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WATS,-10.4927777778,121.849722222,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WATT,-10.1713888889,123.671944444,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WATU,-9.6688888889,120.298888889,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WAUU,-0.8930555556,134.05,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WAVV,-4.0952777778,138.950833333,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WAWB,-5.4869444444,122.568888889,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WAWP,-4.1808333333,121.614722222,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WAWW,-4.0819444444,122.416944444,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WAYE,-3.9255555556,136.377777778,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WAYY,-4.5275,136.889722222,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WIBB,-0.46,101.443888889,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WIBJ,-0.3519444444,102.333888889,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WICA,-6.6519444444,108.1575,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WICC,-6.9019444444,107.576111111,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WICD,-6.7566666667,108.538888889,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WICM,-7.3333333333,108.25,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WICS,-6.5313888889,107.658888889,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WIDD,1.1233333333,104.114722222,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WIDN,-0.9211111111,104.530833333,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WIDO,3.9119444444,108.393055556,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WIDS,-0.4783333333,104.578888889,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WIDT,1.0525,103.391944444,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WIEE,-0.7883333333,100.280833333,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WIGG,-3.8641666667,102.34,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WIGM,-2.5422222222,101.09,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WIHH,-6.2675,106.886388889,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WIHJ,-6.5441666667,106.753055556,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WIII,-6.1263888889,106.653888889,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WIJI,-2.0938888889,101.469722222,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WIJJ,-1.6361111111,103.641944444,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WIKK,-2.1630555556,106.138888889,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WIKT,-2.7538888889,107.752777778,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WILL,-5.2425,105.175833333,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WILM,-4.6,105.25,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WIMA,5.2258333333,96.9486111111,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WIMB,1.1663888889,97.7044444444,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WIME,1.3994444444,99.4308333333,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WIMM,3.6402777778,98.8786111111,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WIMN,2.2586111111,98.9936111111,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WIMS,1.5541666667,98.8905555556,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WIOG,-0.3486111111,111.747777778,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WIOK,-1.8158333333,109.962777778,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WIOO,-0.1488888889,109.402777778,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WIOP,-0.8355555556,112.935833333,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WIOS,-0.0636111111,111.472777778,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WIPP,-2.8977777778,104.700833333,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WIRR,-6.2908333333,106.565833333,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WITC,4.045,96.2494444444,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WITN,5.8766666667,95.34,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WITT,5.52,95.4208333333,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
WIOI,0.910171,108.982678,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor,belum lapor
